pipe_id,node1,node2,length_m,diameter_cad_mm,diameter_mm,material,diameter_from_cad,label_distance_m,peak_tree_flow_lps,flow_lps,velocity_ms,headloss_m_per_km
P198,J157,J163,13.74,50.0,50.0,,True,39.9,0.1042,0.1042,0.0531,0.0002
P199,J169,J157,56.35,50.0,50.0,,True,12.0,0.3033,0.9028,0.4598,0.0088
P200,J190,J158,65.86,75.0,75.0,GI,True,43.0,2.1321,1.2174,0.2756,0.0018
P201,J158,J173,24.74,75.0,75.0,GI,True,30.2,0.0,-0.9146,0.207,0.0011
P202,J159,J164,9.11,50.0,50.0,,True,38.6,0.084,-0.084,0.0428,1e-04
P203,J160,J169,17.15,50.0,50.0,,True,18.2,0.0442,-0.0442,0.0225,0.0
P204,J166,J161,11.73,50.0,50.0,GI,True,28.0,0.1633,0.1633,0.0832,0.0003
P205,J162,J179,24.46,100.0,100.0,UNK,False,inf,1.5751,1.5751,0.2005,0.0008
P206,J162,J191,185.19,100.0,150.0,UNK,False,inf,12.6846,-12.6844,0.7178,0.0056
P207,J164,J172,18.03,50.0,50.0,,True,29.2,0.549,-0.9386,0.478,0.0095
P208,J164,J175,61.57,40.0,40.0,,True,52.2,0.1691,0.1691,0.1346,0.0012
P209,J174,J166,39.89,75.0,75.0,GI,True,25.0,0.3093,0.3093,0.07,1e-04
P210,J166,J167,7.41,50.0,50.0,GI,True,33.2,0.1178,0.1179,0.06,0.0002
P211,J169,J191,51.13,40.0,40.0,,True,19.7,0.3827,-1.3643,1.0856,0.0563
P212,J172,J169,9.04,50.0,50.0,,True,20.7,0.0,-0.3821,0.1946,0.0018
P213,J179,J171,15.93,50.0,50.0,UNK,False,inf,0.4177,0.4177,0.2127,0.0021
P214,J172,J177,8.7,50.0,50.0,,True,25.9,0.0587,0.0587,0.0299,1e-04
P215,J184,J172,68.37,40.0,40.0,,True,36.4,0.6203,0.6278,0.4996,0.0134
P216,J173,J174,20.93,75.0,75.0,GI,True,24.8,0.3959,0.3959,0.0896,0.0002
P217,J173,J190,42.5,75.0,75.0,GI,True,49.5,0.4329,-1.3475,0.305,0.0022
P218,J178,J174,7.55,50.0,50.0,GI,True,23.9,0.0579,-0.0579,0.0295,0.0
P219,J176,J187,33.74,50.0,50.0,,True,30.3,0.4344,-0.4344,0.2213,0.0023
P220,J179,J182,10.27,100.0,100.0,UNK,False,inf,1.1445,1.1445,0.1457,0.0005
P221,J186,J180,55.92,50.0,50.0,UNK,False,inf,0.5362,0.5362,0.2731,0.0034
P222,J182,J181,13.69,50.0,50.0,UNK,False,inf,0.1407,0.1407,0.0717,0.0003
P223,J182,J183,4.94,100.0,100.0,UNK,False,inf,0.9956,0.9956,0.1268,0.0004
P224,J183,J228,118.47,100.0,100.0,UNK,False,inf,0.5818,0.5818,0.0741,1e-04
P225,J183,J192,121.55,50.0,50.0,UNK,False,inf,0.2215,0.2215,0.1128,0.0007
P226,J195,J184,96.71,40.0,50.0,,True,41.8,2.4552,1.4739,0.7506,0.0219
P227,J187,J186,37.94,75.0,75.0,,True,44.3,0.5033,-0.1086,0.0246,0.0
P228,J186,J205,116.41,75.0,75.0,,True,14.4,1.1706,-0.7759,0.1756,0.0009
P229,J189,J187,31.85,75.0,75.0,,True,15.6,0.0,0.3947,0.0893,0.0003
P230,J201,J188,28.11,75.0,75.0,,True,10.7,0.0,1.3372,0.3027,0.0025
P231,J188,J189,2.73,150.0,150.0,,True,16.8,1.3387,-0.0015,1e-04,0.0
P232,J189,J205,33.67,75.0,75.0,,True,8.7,2.4005,-1.458,0.33,0.003
P233,J190,J196,14.03,50.0,50.0,GI,True,50.8,2.8484,-2.8484,1.4507,0.0632
P234,J212,J190,152.89,50.0,50.0,UNK,False,inf,0.231,-0.2311,0.1177,0.0007
P235,J191,J195,20.29,40.0,150.0,,True,35.7,13.1355,-14.1168,0.7989,0.0068
P236,J191,J193,10.0,40.0,40.0,,True,26.8,0.008,0.008,0.0063,0.0
P237,J194,J211,96.25,50.0,50.0,GI,True,21.0,0.2218,-0.2218,0.113,0.0006
P238,J195,J198,7.99,40.0,150.0,,True,36.5,15.6055,-15.6055,0.8831,0.0082
P239,J196,J202,9.06,50.0,75.0,GI,True,49.0,3.5628,-3.5628,0.8064,0.0133
P240,J196,J206,293.06,50.0,50.0,UNK,False,inf,0.7,0.7,0.3565,0.0055
P241,J197,J214,205.25,50.0,50.0,GI,True,56.3,0.8236,-0.8237,0.4195,0.0063
P242,J198,J215,71.18,100.0,150.0,UNK,False,inf,15.8247,-15.8247,0.8955,0.0084
P243,J198,J199,25.43,40.0,40.0,,True,52.8,0.0717,0.0717,0.0571,0.0002
P244,J198,J203,10.76,40.0,40.0,,True,38.8,0.129,0.129,0.1026,0.0007
P245,J202,J200,11.26,50.0,50.0,GI,True,54.7,0.0382,0.0382,0.0195,0.0
P246,J204,J201,4.82,75.0,75.0,,True,19.9,0.0518,0.458,0.1037,0.0003
P247,J201,J204,37.92,150.0,150.0,,True,27.5,0.0,-0.9309,0.0527,0.0
P248,J202,J210,21.0,50.0,75.0,GI,True,50.7,3.6187,-3.6187,0.8191,0.0137
P249,J232,J204,118.81,150.0,150.0,,True,33.0,18.3342,-15.5875,0.8821,0.0082
P250,J205,J204,2.82,150.0,150.0,,True,21.1,18.4575,17.0479,0.9647,0.0097
P251,J205,J227,62.88,150.0,150.0,,True,11.9,22.0926,-19.3459,1.0948,0.0122
P252,J207,J208,8.3,50.0,50.0,UNK,False,inf,0.0636,0.0636,0.0324,1e-04
